Proposta;Ano da proposta;IBGE;UF;Município;Nome da unidade;Componente;Porte;Modalidade;Situação no SISMOB;Data de assinatura do TRR;Execução física (%) SISMOB;Data prevista de conclusão SISMOB;Dias sem monitoramento SISMOB;Data do último contato equipe PAC;Prioridade de contato;Ações;Quem fez o contato?;Data do contato;Execução informada pelo ente (%);Data/Previsão de conclusão informada pelo ente;Data/Previsão de inauguração informada pelo ente;Observações e problemas
08448753000113001;2013;250053;PB;Alcantil;Unidade Básica de Saúde da Familia de Lagoa do Juca;Unidade Básica de Saúde;I;Repactuação;Obra cancelada;20/03/2026;100;23/06/2014;3472;;Alta;"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
• Pedir superação de etapa 'Execução e conclusão'
• Atualizar SISMOB 1 vez por mês";;;;;;
11490408000114002;2014;250060;PB;Alhandra; Psf Subauma;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;30/06/2022;528;;Não é necessário contato;;;;;;;
11898585000113003;2013;250090;PB;Arara;Unidade de Saude da Familia Iii;Unidade Básica de Saúde;;Reativação;Em execução e conclusão;-;95;30/06/2017;527;;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
11898585000113004;2013;250090;PB;Arara;Unidade de Saude da Familia Iv;Unidade Básica de Saúde;;Reativação;Em execução e conclusão;-;98;30/05/2017;527;;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
08865636000110001;2010;250130;PB;Aroeiras;Ubsf;Unidade Básica de Saúde;I;Reativação;Em execução e conclusão;-;10;30/12/2013;3766;;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";;;;;;
08993925000111004;2011;250160;PB;Barra de Santa Rosa;;Academia da Saúde;;Repactuação;Obra cancelada;12/03/2025;0;;2408;;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
11228592000117002;2017;250170;PB;Barra de São Miguel;Centro Saude Barra de Sao Miguel;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;30/07/2022;660;;Não é necessário contato;;;;;;;
11685421000117701;2017;250180;PB;Bayeux;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Reativação;Em funcionamento;-;100;30/10/2023;503;;Não é necessário contato;;;;;;;
11685421000117705;2017;250180;PB;Bayeux;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Repactuação;Obra cancelada;11/12/2024;33;30/06/2023;979;;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";;;;;;
12461113000113001;2013;250200;PB;Belém do Brejo do Cruz;Unidade Básica de Saúde Emas;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;12/04/2017;373;;Não é necessário contato;;;;;;;
11153600000118001;2018;250250;PB;Boqueirão;Ubsf Malvinas;Unidade Básica de Saúde;I;Reativação;Em execução e conclusão;-;95;30/05/2020;633;;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
11594451000116003;2016;250270;PB;Borborema;Mini Posto Manitu;Unidade Básica de Saúde;II;Reativação;Em execução e conclusão;-;99;30/12/2020;230;;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
11594451000116002;2016;250270;PB;Borborema;Unidade Basica de Saude Psf I Borborema;Unidade Básica de Saúde;IV;Reativação;Em execução e conclusão;-;100;30/12/2020;139;;Alta;"• Pedir superação de etapa 'Execução e conclusão'
• Atualizar SISMOB 1 vez por mês";;;;;;
11309134000118002;2018;250310;PB;Cabaceiras;Academia da Saúde;Academia da Saúde;Intermediária;Reativação;Em execução e conclusão;-;100;30/10/2022;379;;Alta;"• Pedir superação de etapa 'Execução e conclusão'
• Atualizar SISMOB 1 vez por mês";;;;;;
11309134000118005;2018;250310;PB;Cabaceiras;Academia da Saúde;Academia da Saúde;Intermediária;Reativação;Em execução e conclusão;-;100;30/10/2021;379;;Alta;"• Pedir superação de etapa 'Execução e conclusão'
• Atualizar SISMOB 1 vez por mês";;;;;;
11309134000118006;2018;250310;PB;Cabaceiras;Academia da Saúde;Academia da Saúde;Intermediária;Reativação;Em funcionamento;-;100;31/12/2022;373;;Não é necessário contato;;;;;;;
12011663000118002;2018;250350;PB;Cacimba de Dentro;Construção de Unidade Básica de Saúde;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;31/12/2023;377;;Não é necessário contato;;;;;;;
11902878000113009;2013;250370;PB;Cajazeiras;Unidade Básica de Saúde do Sitio Serragem;Unidade Básica de Saúde;I;Repactuação;Em cancelamento;18/12/2024;87;30/09/2018;1980;;Alta;"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
• Atualizar SISMOB 1 vez por mês";;;;;;
11902878000113010;2013;250370;PB;Cajazeiras;Unidade Saúde da Família Amélio Estrela Dantas Cartaxo;Unidade Básica de Saúde;II;Repactuação;Obra cancelada;18/12/2024;88;30/09/2018;2303;;Alta;"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
• Atualizar SISMOB 1 vez por mês";;;;;;
24513574000116014;2016;250400;PB;Campina Grande;Ubs Jardins;Unidade Básica de Saúde;II;Reativação;Em funcionamento;-;100;25/01/2022;322;;Não é necessário contato;;;;;;;
24513574000113037;2013;250400;PB;Campina Grande;Instituto de Saude Elpidio de Almeida;Centro de Parto Normal;Peri- hospitalar 5PPP;Reativação;Em funcionamento;-;100;;472;;Não é necessário contato;;;;;;;
11570107000116001;2016;250460;PB;Conde;Unidade de Saude da Familia de Mituacu;Unidade Básica de Saúde;III;Reativação;Em execução e conclusão;-;100;;526;;Alta;"• Pedir superação de etapa 'Execução e conclusão'
• Atualizar SISMOB 1 vez por mês";;;;;;
11570107000113003;2013;250460;PB;Conde;Upa Conde;Unidade de Pronto Atendimento;I;Repactuação;Obra cancelada;17/02/2025;93;28/09/2016;2558;;Alta;"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
• Atualizar SISMOB 1 vez por mês";;;;;;
11570107000116002;2016;250460;PB;Conde;Unidade Saude da Familia Nossa S das Neves Ii;Unidade Básica de Saúde;IV;Repactuação;Obra cancelada;17/02/2025;0;;0;;Alta;;;;;;;
11161210000119001;2019;250480;PB;Coremas;Ubs do Pombalzinho Dr Olivio Assis Bandeira;Unidade Básica de Saúde;I;Reativação;Em execução e conclusão;-;99;02/03/2022;3;;Baixa;;;;;;;
23014200000116002;2016;250490;PB;Cruz do Espírito Santo;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Repactuação;Em execução e conclusão;11/03/2025;61;10/12/2020;1093;;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";;;;;;
23014200000116003;2016;250490;PB;Cruz do Espírito Santo;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Reativação;Obra concluída;-;100;30/09/2020;679;;Alta;"• Colocar em funcionamento
• Atualizar SISMOB 1 vez por mês";;;;;;
08925968000109003;2009;250540;PB;Desterro;Usf-Raimunda Cordeiro de Morais;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;;661;;Não é necessário contato;;;;;;;
10493355000115001;2015;250540;PB;Desterro;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;;661;;Não é necessário contato;;;;;;;
10493355000119001;2019;250540;PB;Desterro;Unidade Basica de Saude Iv;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;30/09/2023;648;;Não é necessário contato;;;;;;;
10382118000115001;2015;250560;PB;Diamante;Unidade Básica de Saúde.;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;30/07/2018;577;;Não é necessário contato;;;;;;;
11814527000112001;2012;250580;PB;Duas Estradas;;Academia da Saúde;;Repactuação;Obra cancelada;20/03/2026;0;;2901;;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
12011984000113007;2013;250600;PB;Esperança;Upa 24 Horas de Esperanï¿¿A;Unidade de Pronto Atendimento;I;Reativação;Em readequação;-;100;30/06/2018;2207;;Alta;"• Pedir superação de etapa 'Execução e conclusão'
• Atualizar SISMOB 1 vez por mês";;;;;;
11252030000113001;2013;250620;PB;Frei Martinho;Posto de Saude Varzea Verde;Unidade Básica de Saúde;I;Reativação;Obra concluída;-;100;12/12/2021;686;;Alta;"• Colocar em funcionamento
• Atualizar SISMOB 1 vez por mês";;;;;;
11252030000113005;2013;250620;PB;Frei Martinho;Posto de Saude de Quixaba;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;31/07/2018;648;;Não é necessário contato;;;;;;;
250690260856111854;2012;250690;PB;Itabaiana;Psf Costa e Silva;Unidade Básica de Saúde;;Reativação;Em execução e conclusão;-;0;;268;;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
250690236394111852;2012;250690;PB;Itabaiana;Psf Acude das Pedras;Unidade Básica de Saúde;;Reativação;Em execução e conclusão;-;0;;3461;;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
07615929000113006;2013;250690;PB;Itabaiana;Academia de Saude Açude das Pedras;Academia da Saúde;Intermediária;Repactuação;Em cancelamento;05/02/2026;40;;2355;;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
12099621000116002;2016;250710;PB;Itapororoca;;Academia da Saúde;Intermediária;Reativação;Em execução e conclusão;-;100;30/11/2020;58;;Média;"• Pedir superação de etapa 'Execução e conclusão'
• Atualizar SISMOB 1 vez por mês";;;;;;
12099621000119001;2019;250710;PB;Itapororoca;Unidade de Saude da Familia Sao Joao;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;01/07/2024;225;;Não é necessário contato;;;;;;;
08715618000116007;2016;250750;PB;João Pessoa;Central de Rede de Frio;Central de Rede de Frio;I estrutura simplificada;Reativação;Em execução e conclusão;-;100;15/11/2019;2457;;Alta;"• Pedir superação de etapa 'Execução e conclusão'
• Atualizar SISMOB 1 vez por mês";;;;;;
13069201000117002;2017;250780;PB;Junco do Seridó;Unidade Basica de Saude Psf Iii;Unidade Básica de Saúde;I;Reativação;Em execução e conclusão;-;100;24/02/2020;6;;Baixa;"• Pedir superação de etapa 'Execução e conclusão'
";;;;;;
13069201000118003;2018;250780;PB;Junco do Seridó;Unidade Basica de Saude Psf Ii;Unidade Básica de Saúde;I;Reativação;Em início de execução;-;45;30/06/2020;6;;Baixa;"• Pedir superação de etapa 'Início de execução'
• Atualizar data de conclusão
";;;;;;
08865933000109002;2009;250790;PB;Juripiranga;Unidade Básica de Saúde da Família Carly Araujo;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;30/04/2012;558;;Não é necessário contato;;;;;;;
11164805000110003;2010;250790;PB;Juripiranga;Unidade Básica de Saúde da Família Psf I;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;30/04/2013;558;;Não é necessário contato;;;;;;;
08674396000119002;2019;250890;PB;Mamanguape;Construção de Unidade Basica de Saúde;Unidade Básica de Saúde;I;Reativação;Em funcionamento;-;100;24/12/2025;203;;Não é necessário contato;;;;;;;
11400094000117002;2017;250910;PB;Mari;Ubs Silvino Costa;Unidade Básica de Saúde;I;Reativação;Em execução e conclusão;-;75;04/06/2020;24;;Baixa;"• Atualizar data de conclusão
";;;;;;
08866501000109002;2009;250940;PB;Mogeiro;Unidade Básica de Saúde da Família Loteamento Maria Peixoto;Unidade Básica de Saúde;I;Repactuação;Em execução e conclusão;13/12/2024;100;27/04/2026;122;;Alta;"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
• Pedir superação de etapa 'Execução e conclusão'
• Atualizar SISMOB 1 vez por mês";;;;;;
08579944000113001;2013;251030;PB;Nova Palmeira;Posto de Saúde Serra do Abreu;Unidade Básica de Saúde;I;Reativação;Em execução e conclusão;-;80;;450;;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
09084815000110017;2011;251080;PB;Patos;Unidade de Pronto Atendimento Joï¿¿O Bosco de Araï¿¿Jo;Unidade de Pronto Atendimento;;Reativação;Obra concluída;-;100;20/12/2013;380;;Alta;"• Colocar em funcionamento
• Atualizar SISMOB 1 vez por mês";;;;;;
11247833000119001;2019;251090;PB;Paulista;Ubs do Helena Saldanha Veras ;Unidade Básica de Saúde;I;Repactuação;Em funcionamento;16/01/2025;100;28/11/2023;184;;Não é necessário contato;;;;;;;
04827493000113003;2013;251130;PB;Piancó;Caps Ad Iii;Centro de Atenção Psicossocial;ad III;Repactuação;Obra cancelada;05/12/2024;46;30/12/2019;2667;;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";;;;;;
